Date,Team,Acquired,Relinquished,Notes
2025-08-26,Bears,,• Amen Ogbongbemiga,placed on IR with shoulder injury
2025-08-26,Bears,,• Travis Homer,placed on IR with calf injury
2025-08-26,Bears,• Jaylon Johnson,,activated from active/non-football injury list (date approximate)
2025-08-26,Bengals,,• Cedric Johnson,placed on IR with calf injury
2025-08-26,Bengals,,• Daijahn Anthony,placed on IR with hamstring injury
2025-08-26,Bengals,,• Erick All (a),placed on reserve/physically unable to perform list recovering from surgery on knee to repair torn ACL
2025-08-26,Bills,,• Maxwell Hairston,placed on IR with sprained LCL in right knee
2025-08-26,Bills,,• Tylan Grable,placed on IR with concussion
2025-08-26,Bills,• Sedrick Van Pran-Granger,,activated from active/physically unable to perform list
2025-08-26,Broncos,,• Drew Sanders,placed on IR with foot injury
2025-08-26,Broncos,,• Michael Burton,placed on IR with surgery on hamstring
2025-08-26,Browns,,• David Bell,placed on reserve/non-football injury list with hip injury
2025-08-26,Browns,,• Deshaun Watson,placed on reserve/physically unable to perform list recovering from surgery to repair torn Achilles tendon
2025-08-26,Browns,,• Winston Reid,placed on IR with back injury
2025-08-26,Browns,• Michael Hall Jr. / Mike Hall Jr.,,activated from active/physically unable to perform list
2025-08-26,Buccaneers,,• Jalen McMillan,placed on IR
2025-08-26,Buccaneers,• Chris Godwin,,activated from active/physically unable to perform list
2025-08-26,Buccaneers,• Tristan Wirfs,,activated from active/physically unable to perform list
2025-08-26,Cardinals,,• B.J. Ojulari,placed on reserve/physically unable to perform list recovering from surgery on left knee to repair torn ACL
2025-08-26,Cardinals,,• Bilal Nichols,placed on reserve/physically unable to perform list with neck injury
2025-08-26,Cardinals,,• Christian Jones (b),placed on IR with knee injury
2025-08-26,Cardinals,,• Hayden Conner,placed on IR with knee injury
2025-08-26,Cardinals,,• J.J. Russell,placed on IR with concussion
2025-08-26,Cardinals,,• Walter Nolen,placed on reserve/physically unable to perform list with calf injury
2025-08-26,Cardinals,• Will Hernandez,,activated from physically unable to perform list
2025-08-26,Chargers,,• Deane Leonard,placed on IR with leg injury
2025-08-26,Chargers,,• Josh Harris II (b. 1989-04-27),placed on IR with undisclosed injury
2025-08-26,Chargers,,• Junior Colson,placed on IR with with surgery on shoulder
2025-08-26,Chargers,• Najee Harris (b),,activated from physically unable to perform list
2025-08-26,Chiefs,,• Brandon George,placed on IR with undisclosed injury
2025-08-26,Chiefs,,• Ethan Driskell,placed on reserve/non-football injury list with appendectomy
2025-08-26,Chiefs,,• Jake Briningstool,placed on IR with hamstring injury
2025-08-26,Chiefs,,• Nazeeh Johnson,placed on IR with hamstring injury
2025-08-26,Colts,,• Jaylon Carlies,placed on IR with shoulder injury
2025-08-26,Commanders,,• Samuel Cosmi / Sam Cosmi,placed on reserve/physically unable to perform list
2025-08-26,Cowboys,,• DeMarvion Overshown,"placed on reserve/physically unable to perform list recovering from surgery on right knee to repair torn ACL, MCL, PCL"
2025-08-26,Cowboys,,• Jonathan Mingo,placed on IR with sprained PCL in knee
2025-08-26,Cowboys,,• Josh Butler,placed on reserve/physically unable to perform list recovering from surgery to repair torn ACL in right knee
2025-08-26,Cowboys,,• Payton Turner,placed on IR with rib injury
2025-08-26,Dolphins,,• Andrew Meyer,placed on IR with undisclosed injury
2025-08-26,Dolphins,,• Jason Sanders,placed on IR with hip injury
2025-08-26,Dolphins,,• Liam Eichenberg,placed on reserve/physically unable to perform list with undisclosed
2025-08-26,Eagles,,• Myles Hinton,placed on IR with undisclosed injury
2025-08-26,Eagles,,• Nakobe Dean,placed on reserve/physically unable to perform list with knee injury
2025-08-26,Falcons,,• Kaleb McGary,placed on IR with lower leg injury
2025-08-26,Falcons,,• Malik Verdon,placed on reserve/non-football injury list with undisclosed
2025-08-26,Falcons,,• Storm Norton,placed on IR with ankle injury
2025-08-26,Falcons,,• Ta'Quon Graham,placed on IR with calf injury
2025-08-26,Falcons,,• Troy Andersen,placed on reserve/physically unable to perform list with knee injury
2025-08-26,Giants,,• Eric Gray,placed on reserve/physically unable to perform list with knee injury
2025-08-26,Giants,,• Joshua Ezeudu,placed on IR with surgery on toe
2025-08-26,Giants,,• Victor Dimukeje,placed on reserve/physically unable to perform list with torn pectoral muscle
2025-08-26,Jaguars,,• Caleb Ransaw,placed on IR with lower body injury
2025-08-26,Jaguars,,• Jalen McLeod,placed on IR with lower body injury
2025-08-26,Jets,,• Byron Cowart,placed on IR with ankle injury
2025-08-26,Jets,,• Irvin Charles,placed on reserve/physically unable to perform list with knee injury
2025-08-26,Jets,,• Ja'Markis Weston,placed on IR with undisclosed injury
2025-08-26,Lions,,• Alim McNeill,placed on reserve/physically unable to perform list recovering from torn ACL in knee
2025-08-26,Lions,,• Ezekiel Turner / Zeke Turner,placed on IR with lower leg injury
2025-08-26,Lions,,• Malcolm Rodriguez,placed on reserve/physically unable to perform list wsith torn ACL in knee
2025-08-26,Lions,,• Miles Frazier,placed on reserve/physically unable to perform list with knee injury
2025-08-26,Packers,,• Christian Watson,placed on reserve/physically unable to perform list recovering from surgery on right knee to repair torn ACL
2025-08-26,Packers,,• Collin Oliver,placed on reserve/physically unable to perform list with hamstring injury
2025-08-26,Packers,,• Jacob Monk,placed on IR with hamstring injury
2025-08-26,Packers,,• John Williams (a),placed on reserve/physically unable to perform list with back injury
2025-08-26,Packers,,• MarShawn Lloyd,placed on IR with hamstring injury
2025-08-26,Packers,,• Omar Brown (c),placed on IR with lung injury
2025-08-26,Panthers,,• LaBryan Ray,placed on IR with high ankle sprain
2025-08-26,Patriots,,• Ja'Lynn Polk,placed on IR recovering from surgery on shoulder
2025-08-26,Patriots,,• Jahlani Tavai,placed on IR with calf injury
2025-08-26,Raiders,,• Lonnie Johnson Jr.,placed on IR with fractured fibula in leg
2025-08-26,Ravens,,• Adisa Isaac,placed on IR recovering from surgery on elbow to repair dislocation on ligament damage
2025-08-26,Ravens,,• Ar'Darius Washington,placed on reserve/physically unable to perform list recovering from surgery to repair torn Achilles tendon
2025-08-26,Ravens,,• Dayton Wade,placed on IR recovering from surgery on rib
2025-08-26,Ravens,,• Emery Jones Jr.,placed on reserve/non-football injury list with surgery on shoulder
2025-08-26,Saints,,• Barry Wesley,placed on IR with undisclosed injury
2025-08-26,Saints,,• Foster Moreau,placed on reserve/physically unable to perform list with knee injury
2025-08-26,Saints,,• John Ridgeway,placed on IR with pectoral muscle injury
2025-08-26,Saints,,• Landon Young,placed on IR with ankle injury
2025-08-26,Saints,,• Taysom Hill,placed on reserve/physically unable to perform list recovering from surgery on left knee to repair torn ACL
2025-08-26,Seahawks,,• Christian Haynes,placed on IR with pectoral injury
2025-08-26,Seahawks,,• Johnathan Hankins,placed on reserve/non-football injury list with back injury
2025-08-26,Seahawks,,• Rylie Mills,placed on reserve/non-football injury list with knee injury
2025-08-26,Seahawks,,• Steven Sims Jr.,placed on IR with hamstring injury
2025-08-26,Steelers,,• Cory Trice Jr.,placed on IR with hamstring injury
2025-08-26,Texans,,• Denico Autry,placed on reserve/physically unable to perform list with knee injury
2025-08-26,Texans,,• Irv Smith Jr.,placed on IR with sprained ankle
2025-08-26,Texans,,• Jaylen Reed,placed on IR with ankle injury
2025-08-26,Texans,,• Jimmie Ward,placed on reserve/physically unable to perform list
2025-08-26,Texans,,• Juwann Winfree,placed on IR with fractured hand
2025-08-26,Texans,,• Kurt Hinish,placed on reserve/physically unable to perform list with knee injury
2025-08-26,Texans,,• Nathaniel Dell / Tank Dell,"placed on reserve/physically unable to perform list recovering from surgery on knee to repair torn ACL, torn LCL, torn MCL, dislocated kneecap, meniscus injury"
2025-08-26,Texans,• Trent Brown,,activated from active/physically unable to perform list
2025-08-26,Titans,,• Tyjae Spears,placed on IR
2025-08-26,Vikings,,• C.J. Ham,placed on IR with undisclosed injury
2025-08-26,Vikings,,• Gavin Bartholomew,placed on reserve/physically unable to perform list with lower back injury
2025-08-26,Vikings,,• Tyler Batty,placed on IR with knee injury
2025-08-27,,,• John Johnson III,suspended by NFL for 3 games
2025-08-27,49ers,,• Carter Bradley,placed on IR
2025-08-27,49ers,,• Tanner Mordecai,placed on IR
2025-08-27,Bears,,• Bill Murray (b. 1997-07-03),placed on IR
2025-08-27,Bears,,• Doug Kramer,placed on IR
2025-08-27,Bears,,• Ian Wheeler,placed on IR
2025-08-27,Bears,,• Tysheem Johnson,placed on IR
2025-08-27,Bengals,,• Caleb Etienne,placed on IR
2025-08-27,Bengals,,• Cordell Volson,placed on IR
2025-08-27,Bengals,,• Tanner McLachlan,placed on IR
2025-08-27,Bills,,• Grant DuBose,placed on IR
2025-08-27,Bills,,• Wande Owens,placed on IR
2025-08-27,Broncos,,• Kristian Williams,placed on IR
2025-08-27,Browns,,• Cade McDonald,placed on IR
2025-08-27,Browns,,• Pierre Strong Jr.,placed on IR
2025-08-27,Buccaneers,,• Antonio Grier Jr.,placed on IR
2025-08-27,Buccaneers,,• Jaden Smith,placed on IR
2025-08-27,Buccaneers,,• Jake Majors,placed on IR
2025-08-27,Buccaneers,,• JayVian Farr,placed on IR
2025-08-27,Buccaneers,,• Raiqwon O'Neal,placed on IR
2025-08-27,Buccaneers,,• Roman Parodie,placed on IR
2025-08-27,Buccaneers,,• Tyrek Funderburk,placed on IR
2025-08-27,Chargers,,• Jaylen Jones,placed on IR
2025-08-27,Chiefs,,• Rashee Rice,suspended by NFL for 6 games
2025-08-27,Colts,,• Maddux Trujillo,placed on IR
2025-08-27,Cowboys,,• Christian Matthew,placed on IR
2025-08-27,Cowboys,,• Shavon Revel Jr.,placed on reserve/non-football injury list with torn ACL in knee
2025-08-27,Dolphins,,• Bayron Matos,placed on IR
2025-08-27,Dolphins,,• Cam Smith (Marquise Jani'),placed on reserve/non-football injury list with undisclosed
2025-08-27,Eagles,,• Lewis Cine,placed on IR
2025-08-27,Eagles,,• Tariq Castro-Fields,placed on IR
2025-08-27,Giants,,• Da'Quan Felton,placed on IR
2025-08-27,Giants,,• Jermaine Terry II,placed on IR
2025-08-27,Giants,,• Tre Hawkins III,placed on IR
2025-08-27,Jaguars,,• Eli Pancol,placed on IR
2025-08-27,Lions,,• Joshua Paschal / Josh Paschal,placed on reserve/non-football injury list with undisclosed
2025-08-27,Panthers,,• Ja'Tyre Carter,placed on IR
2025-08-27,Patriots,,• Layden Robinson,placed on IR
2025-08-27,Rams,,• Shaun Jolly,placed on IR
2025-08-27,Seahawks,,• John Rhys Plumlee,placed on IR
2025-08-27,Seahawks,,• Wesley Steiner,placed on IR
2025-08-27,Steelers,,• Brandon Johnson (b. 1998-07-26),placed on IR
2025-08-27,Steelers,,• Domenique Davis,placed on IR
2025-08-27,Texans,,• Alijah Huzzie,placed on reserve/non-football injury list with torn ACL in knee
2025-08-27,Titans,,• Matt Landers,placed on IR
2025-08-28,49ers,,• Jacob Cowing,placed on IR with hamstring injury
2025-08-28,Bears,,• Austin Booker,placed on IR with knee injury
2025-08-28,Bears,,• Austin Booker,placed on IR
2025-08-28,Cardinals,,• Justin Jones (Maurice),placed on IR with knee injury
2025-08-28,Chargers,,• Eric Rogers,placed on IR with lower body injury
2025-08-28,Cowboys,,• Caelen Carson,placed on IR with hyperextended knee
2025-08-28,Cowboys,,• John Stephens Jr.,placed on IR with undisclosed injury
2025-08-28,Cowboys,,• Phil Mafah,placed on IR with shoulder injury
2025-08-28,Falcons,,• Bralen Trice,placed on IR with knee injury
2025-08-28,Raiders,,• Aidan O'Connell,placed on IR with fractured wrist
2025-08-28,Steelers,,• Donte Kent,placed on IR with undisclosed injury
2025-08-28,Steelers,,• Will Howard,placed on IR with hand injury
2025-08-29,,,• Isaiah Buggs,suspended by NFL for 10 games for violating the league's personal conduct policy
2025-08-29,,,• Tyler Manoa,suspended by NFL for 2 games for violating the league's personal conduct policy
2025-08-29,Eagles,,• Willie Lampkin,placed on IR with various injuries
2025-08-29,Giants,,• Rico Payton,placed on IR with hamstring injury
2025-08-30,,,• Shilo Sanders,"fined $4,669 by NFL"
2025-08-31,Chargers,,• Jalen Reagor,placed on practice squad IR with undisclosed injury
2025-09-01,Panthers,,• Jalen Coker,placed on IR with quadriceps injury
2025-09-03,Jets,,• Alijah Vera-Tucker,triceps injury (out for season)
2025-09-04,Bills,,• DeWayne Carter,placed on IR with torn Achilles tendon
2025-09-04,Bills,,• Gabriel Davis / Gabe Davis,placed on practice squad IR with knee injury
2025-09-05,Bills,,• Tyler Bass,placed on IR with various injuries
2025-09-05,Eagles,,• Ben VanSumeren,placed on IR with torn patellar tendon in knee
2025-09-06,Broncos,,• Malcolm Roach,placed on IR with calf injury
